slot,index,length,w,x,y,z,norm,length_ok,decode_ok,norm_in_range
arm,1,16,0.99932861328125,0.03228759765625,-0.01666259765625,-0.00042724609375,0.999989,True,True,True
arm,2,16,0.99932861328125,0.03228759765625,-0.01666259765625,-0.00042724609375,0.999989,True,True,True
arm,3,16,0.99932861328125,0.03228759765625,-0.01666259765625,-0.00042724609375,0.999989,True,True,True
arm,4,16,0.99932861328125,0.03228759765625,-0.0166015625,-0.00042724609375,0.999988,True,True,True
arm,5,16,0.99932861328125,0.03228759765625,-0.0166015625,-0.00042724609375,0.999988,True,True,True
arm,6,16,0.99932861328125,0.03228759765625,-0.01666259765625,-0.00042724609375,0.999989,True,True,True
arm,7,16,0.99932861328125,0.03228759765625,-0.01666259765625,-0.00042724609375,0.999989,True,True,True
arm,8,16,0.99932861328125,0.0323486328125,-0.0166015625,-0.00042724609375,0.99999,True,True,True
arm,9,16,0.99932861328125,0.0323486328125,-0.0166015625,-0.00042724609375,0.99999,True,True,True
arm,10,16,0.99932861328125,0.0323486328125,-0.01666259765625,-0.00042724609375,0.999991,True,True,True
arm,11,16,0.99932861328125,0.0323486328125,-0.01666259765625,-0.0003662109375,0.999991,True,True,True
arm,12,16,0.99932861328125,0.03240966796875,-0.01666259765625,-0.0003662109375,0.999993,True,True,True
arm,13,16,0.99932861328125,0.03240966796875,-0.0167236328125,-0.0003662109375,0.999994,True,True,True
arm,14,16,0.99932861328125,0.032470703125,-0.0167236328125,-0.0003662109375,0.999996,True,True,True
arm,15,16,0.99932861328125,0.032470703125,-0.0167236328125,-0.0003662109375,0.999996,True,True,True
arm,16,16,0.99932861328125,0.032470703125,-0.0167236328125,-0.00042724609375,0.999996,True,True,True
arm,17,16,0.99932861328125,0.032470703125,-0.0167236328125,-0.0003662109375,0.999996,True,True,True
arm,18,16,0.99932861328125,0.03253173828125,-0.0167236328125,-0.0003662109375,0.999998,True,True,True
arm,19,16,0.99932861328125,0.0325927734375,-0.0167236328125,-0.0003662109375,1.0,True,True,True
arm,20,16,0.99932861328125,0.0325927734375,-0.0167236328125,-0.0003662109375,1.0,True,True,True
arm,21,16,0.99932861328125,0.03271484375,-0.0167236328125,-0.0003662109375,1.000004,True,True,True
arm,22,16,0.99932861328125,0.03271484375,-0.01666259765625,-0.0003662109375,1.000003,True,True,True
arm,23,16,0.99932861328125,0.03277587890625,-0.0167236328125,-0.0003662109375,1.000006,True,True,True
arm,24,16,0.99932861328125,0.0328369140625,-0.0167236328125,-0.0003662109375,1.000008,True,True,True
arm,25,16,0.99932861328125,0.03277587890625,-0.0167236328125,-0.0003662109375,1.000006,True,True,True
arm,26,16,0.99932861328125,0.03277587890625,-0.0167236328125,-0.0003662109375,1.000006,True,True,True
arm,27,16,0.99932861328125,0.03277587890625,-0.0167236328125,-0.0003662109375,1.000006,True,True,True
arm,28,16,0.99932861328125,0.03277587890625,-0.01678466796875,-0.0003662109375,1.000007,True,True,True
arm,29,16,0.99932861328125,0.03277587890625,-0.016845703125,-0.0003662109375,1.000008,True,True,True
arm,30,16,0.99932861328125,0.03277587890625,-0.016845703125,-0.00042724609375,1.000008,True,True,True
arm,31,16,0.99932861328125,0.03277587890625,-0.01690673828125,-0.00042724609375,1.000009,True,True,True
arm,32,16,0.99932861328125,0.03277587890625,-0.0169677734375,-0.00042724609375,1.00001,True,True,True
arm,33,16,0.99932861328125,0.03277587890625,-0.0169677734375,-0.00042724609375,1.00001,True,True,True
arm,34,16,0.99932861328125,0.03277587890625,-0.01702880859375,-0.00042724609375,1.000011,True,True,True
arm,35,16,0.99932861328125,0.03277587890625,-0.01702880859375,-0.00042724609375,1.000011,True,True,True
arm,36,16,0.99932861328125,0.03271484375,-0.01702880859375,-0.00042724609375,1.000009,True,True,True
arm,37,16,0.99932861328125,0.03253173828125,-0.01702880859375,-0.00042724609375,1.000003,True,True,True
arm,38,16,0.99932861328125,0.032470703125,-0.0169677734375,-0.00042724609375,1.0,True,True,True
arm,39,16,0.99932861328125,0.0323486328125,-0.0169677734375,-0.00042724609375,0.999996,True,True,True
arm,40,16,0.99932861328125,0.03240966796875,-0.01690673828125,-0.00042724609375,0.999997,True,True,True
arm,41,16,0.99932861328125,0.03240966796875,-0.01690673828125,-0.00042724609375,0.999997,True,True,True
arm,42,16,0.99932861328125,0.03240966796875,-0.01690673828125,-0.00042724609375,0.999997,True,True,True
arm,43,16,0.99932861328125,0.03253173828125,-0.01690673828125,-0.0003662109375,1.000001,True,True,True
arm,44,16,0.99932861328125,0.032470703125,-0.01690673828125,-0.0003662109375,0.999999,True,True,True
arm,45,16,0.99932861328125,0.03253173828125,-0.01690673828125,-0.0003662109375,1.000001,True,True,True
arm,46,16,0.99932861328125,0.0325927734375,-0.01702880859375,-0.0003662109375,1.000005,True,True,True
arm,47,16,0.99932861328125,0.03265380859375,-0.0169677734375,-0.0003662109375,1.000006,True,True,True
arm,48,16,0.99932861328125,0.03271484375,-0.01690673828125,-0.0003662109375,1.000007,True,True,True
arm,49,16,0.99932861328125,0.03271484375,-0.01702880859375,-0.0003662109375,1.000009,True,True,True
arm,50,16,0.99932861328125,0.03271484375,-0.01702880859375,-0.0003662109375,1.000009,True,True,True
arm,51,16,0.99932861328125,0.03277587890625,-0.01715087890625,-0.00030517578125,1.000013,True,True,True
arm,52,16,0.99932861328125,0.03277587890625,-0.01715087890625,-0.0003662109375,1.000013,True,True,True
arm,53,16,0.99932861328125,0.03277587890625,-0.01715087890625,-0.00030517578125,1.000013,True,True,True
arm,54,16,0.99932861328125,0.03277587890625,-0.01715087890625,-0.00030517578125,1.000013,True,True,True
arm,55,16,0.99932861328125,0.03277587890625,-0.01715087890625,-0.000244140625,1.000013,True,True,True
arm,56,16,0.99932861328125,0.03277587890625,-0.01715087890625,-0.000244140625,1.000013,True,True,True
arm,57,16,0.99932861328125,0.03277587890625,-0.01715087890625,-0.000244140625,1.000013,True,True,True
arm,58,16,0.99932861328125,0.03277587890625,-0.01715087890625,-0.000244140625,1.000013,True,True,True
arm,59,16,0.99932861328125,0.03277587890625,-0.0172119140625,-0.000244140625,1.000014,True,True,True
arm,60,16,0.99932861328125,0.03277587890625,-0.0172119140625,-0.000244140625,1.000014,True,True,True
arm,61,16,0.99932861328125,0.03277587890625,-0.0172119140625,-0.000244140625,1.000014,True,True,True
arm,62,16,0.99932861328125,0.03271484375,-0.0172119140625,-0.000244140625,1.000012,True,True,True
arm,63,16,0.99932861328125,0.03271484375,-0.01727294921875,-0.000244140625,1.000013,True,True,True
arm,64,16,0.99932861328125,0.03265380859375,-0.0172119140625,-0.00018310546875,1.00001,True,True,True
arm,65,16,0.99932861328125,0.03265380859375,-0.01715087890625,-0.000244140625,1.000009,True,True,True
arm,66,16,0.99932861328125,0.03265380859375,-0.01715087890625,-0.00018310546875,1.000009,True,True,True
arm,67,16,0.99932861328125,0.03265380859375,-0.01715087890625,-0.00018310546875,1.000009,True,True,True
arm,68,16,0.99932861328125,0.03271484375,-0.0172119140625,-0.000244140625,1.000012,True,True,True
arm,69,16,0.99932861328125,0.03271484375,-0.0172119140625,-0.00018310546875,1.000012,True,True,True
arm,70,16,0.99932861328125,0.03271484375,-0.01715087890625,-0.00018310546875,1.000011,True,True,True
arm,71,16,0.99932861328125,0.03277587890625,-0.01715087890625,-0.00018310546875,1.000013,True,True,True
arm,72,16,0.99932861328125,0.03277587890625,-0.0172119140625,-0.00018310546875,1.000014,True,True,True
arm,73,16,0.99932861328125,0.03277587890625,-0.0172119140625,-0.00018310546875,1.000014,True,True,True
arm,74,16,0.99932861328125,0.03277587890625,-0.0172119140625,-0.00018310546875,1.000014,True,True,True
arm,75,16,0.99932861328125,0.03277587890625,-0.0172119140625,-0.00018310546875,1.000014,True,True,True
arm,76,16,0.99932861328125,0.03277587890625,-0.01727294921875,-0.00018310546875,1.000015,True,True,True
arm,77,16,0.99932861328125,0.03277587890625,-0.01727294921875,-0.00018310546875,1.000015,True,True,True
arm,78,16,0.99932861328125,0.03277587890625,-0.01727294921875,-0.00018310546875,1.000015,True,True,True
arm,79,16,0.99932861328125,0.03277587890625,-0.01727294921875,-0.00018310546875,1.000015,True,True,True
arm,80,16,0.99932861328125,0.03277587890625,-0.017333984375,-0.00018310546875,1.000016,True,True,True
arm,81,16,0.99932861328125,0.03277587890625,-0.01739501953125,-0.00018310546875,1.000017,True,True,True
arm,82,16,0.99932861328125,0.03277587890625,-0.01739501953125,-0.00018310546875,1.000017,True,True,True
arm,83,16,0.99932861328125,0.03277587890625,-0.0174560546875,-0.00018310546875,1.000018,True,True,True
arm,84,16,0.99932861328125,0.03277587890625,-0.0174560546875,-0.00018310546875,1.000018,True,True,True
arm,85,16,0.99932861328125,0.03277587890625,-0.01751708984375,-0.00018310546875,1.000019,True,True,True
arm,86,16,0.99932861328125,0.03277587890625,-0.0174560546875,-0.00018310546875,1.000018,True,True,True
arm,87,16,0.99932861328125,0.03277587890625,-0.01739501953125,-0.00018310546875,1.000017,True,True,True
arm,88,16,0.99932861328125,0.03277587890625,-0.01739501953125,-0.0001220703125,1.000017,True,True,True
arm,89,16,0.99932861328125,0.03277587890625,-0.017333984375,-0.0001220703125,1.000016,True,True,True
arm,90,16,0.99932861328125,0.03277587890625,-0.01739501953125,-0.0001220703125,1.000017,True,True,True
arm,91,16,0.99932861328125,0.03277587890625,-0.01739501953125,-0.0001220703125,1.000017,True,True,True
arm,92,16,0.99932861328125,0.03277587890625,-0.0174560546875,-0.0001220703125,1.000018,True,True,True
arm,93,16,0.99932861328125,0.03277587890625,-0.01739501953125,-0.0001220703125,1.000017,True,True,True
arm,94,16,0.99932861328125,0.03277587890625,-0.01739501953125,-0.0001220703125,1.000017,True,True,True
arm,95,16,0.99932861328125,0.03277587890625,-0.0174560546875,-0.0001220703125,1.000018,True,True,True
arm,96,16,0.99932861328125,0.03277587890625,-0.0174560546875,-0.0001220703125,1.000018,True,True,True
arm,97,16,0.99932861328125,0.03277587890625,-0.0174560546875,-0.0001220703125,1.000018,True,True,True
arm,98,16,0.99932861328125,0.03277587890625,-0.01739501953125,-0.0001220703125,1.000017,True,True,True
arm,99,16,0.99932861328125,0.03277587890625,-0.0174560546875,-0.0001220703125,1.000018,True,True,True
arm,100,16,0.99932861328125,0.03277587890625,-0.0174560546875,-0.0001220703125,1.000018,True,True,True
